chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
75,75,69140,0,0,-4,4,0,2,1.7,2.7,0,Shkodran,1.8,1,False,Muscle injury - 75% chance of playing,2020-02-27T23:00:18.104137Z,51,69140.jpg,3.2,Mustafi,0.4,False,,d,1,3,26,15326,10,37951,158,0.4,5.1,Mustafi,620,0,2,2,9,0,0,0,0,0,0,1,144,174.2,15.4,107.0,29.8
100,100,98745,0,0,-1,1,0,2,2.5,4.0,1,Héctor,2.0,2,False,,2019-12-09T20:00:21.228098Z,54,98745.jpg,3.1,Bellerín,1.3,False,,a,1,3,25,140045,244,67480,1500,0.4,4.6,Bellerín,623,1,0,2,10,0,0,0,2,0,0,3,116,117.6,37.7,38.0,19.5
0,0,111457,0,0,-3,3,0,2,0.0,0.0,0,Sead,0.2,3,False,Shoulder injury - Expected back 04 Apr,2020-02-23T18:30:13.672943Z,52,111457.jpg,2.1,Kolasinac,0.5,False,,i,1,3,35,55460,1,127576,56,0.0,6.7,Kolasinac,1103,0,2,2,19,0,0,0,3,0,0,1,222,190.0,157.3,67.0,41.2
100,100,154043,0,0,-5,5,1,2,0.5,0.0,0,Ainsley,0.0,4,False,,2019-09-22T18:00:10.824841Z,45,154043.jpg,2.6,Maitland-Niles,2.3,False,,a,1,3,36,591748,49,628550,384,0.0,8.0,Maitland-Niles,1210,0,2,3,19,0,0,0,3,1,0,3,216,261.8,155.4,37.0,44.9
100,100,39476,0,0,-2,2,1,2,1.7,2.4,5,Sokratis,1.2,5,False,,2020-02-21T01:30:19.929771Z,48,39476.jpg,3.0,Papastathopoulos,1.4,False,,a,1,3,57,151525,203,193217,140,0.3,11.9,Sokratis,1696,2,0,4,25,0,0,0,6,0,0,5,305,436.2,36.8,110.0,58.5
0,0,38411,0,0,0,0,0,2,0.0,0.0,0,Nacho,0.0,6,False,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,Monreal,0.2,False,,u,1,3,10,28171,1,88977,9,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
0,0,51507,0,0,0,0,0,2,0.0,0.0,0,Laurent,0.0,7,False,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,Koscielny,0.1,False,,u,1,3,0,642,3,12727,2,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,233963,0,0,-1,1,0,2,0.0,0.0,0,Konstantinos,0.0,8,False,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,233963.jpg,0.0,Mavropanos,0.0,False,,n,1,3,0,1103,0,4903,2,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,80254,0,0,0,0,0,2,0.0,0.0,0,Carl,0.0,9,False,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,Jenkinson,0.0,False,,u,1,3,0,441,1,2617,2,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,156074,0,0,0,0,0,2,0.5,0.0,0,Rob,0.0,10,False,,2019-12-09T10:00:19.335279Z,45,156074.jpg,1.0,Holding,0.1,False,,a,1,3,2,12121,9,14949,23,0.0,0.4,Holding,85,0,0,0,3,0,0,0,0,0,0,0,13,13.4,0.4,2.0,1.6
100,100,54694,0,0,1,-1,3,4,6.3,11.6,2,Pierre-Emerick,5.8,11,True,,2020-01-08T14:00:18.333339Z,111,54694.jpg,5.8,Aubameyang,27.8,False,,a,1,3,152,3074907,8830,2918628,4422,0.5,13.7,Aubameyang,2303,17,3,7,33,0,0,0,3,1,0,29,601,742.8,383.2,985.0,210.9
100,100,59966,0,0,-2,2,1,4,4.5,8.0,7,Alexandre,4.0,12,False,,2019-09-01T18:30:14.246208Z,93,59966.jpg,3.9,Lacazette,2.1,False,,a,1,3,78,337302,1259,450945,620,0.4,8.4,Lacazette,1311,7,4,3,18,0,0,0,5,0,0,9,277,384.8,288.0,666.0,134.1
100,100,205533,0,0,-2,2,0,4,3.0,5.0,1,Edward,2.5,13,False,,2019-08-08T15:30:15.638344Z,43,205533.jpg,2.4,Nketiah,1.3,False,,a,1,3,12,121763,1611,136356,645,0.6,2.8,Nketiah,249,1,0,1,3,0,0,0,0,0,0,1,27,37.6,28.2,101.0,16.7
,,80201,0,0,0,0,1,1,5.3,9.6,11,Bernd,4.8,14,False,,,50,80201.jpg,3.9,Leno,5.5,False,,a,1,3,108,475574,1498,507293,424,1.0,21.6,Leno,2520,0,0,7,36,0,1,0,2,0,104,9,560,777.8,0.0,0.0,77.6
100,100,37605,0,0,-3,3,0,3,4.5,8.0,6,Mesut,4.0,15,False,,2019-12-20T10:30:11.550604Z,72,37605.jpg,2.9,Özil,1.5,False,,a,1,3,53,161679,1276,187603,485,0.6,7.4,Özil,1439,1,3,5,20,0,0,0,1,0,0,1,256,223.6,582.9,190.0,99.8
0,0,57249,0,0,-2,2,0,3,0.0,0.0,0,Henrikh,0.0,16,False,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,57249.jpg,1.3,Mkhitaryan,0.7,False,,n,1,3,4,23018,6,116515,17,0.0,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6
100,100,84450,0,0,-4,4,0,3,2.3,3.6,3,Granit,1.8,18,False,,2019-12-29T14:30:26.292159Z,51,84450.jpg,2.1,Xhaka,0.7,False,,a,1,3,47,51051,126,108440,136,0.4,9.2,Xhaka,1904,0,1,7,25,0,0,0,7,0,0,0,290,338.6,240.6,85.0,66.7
0,0,198849,0,0,-3,3,0,3,0.0,0.0,0,Lucas,0.5,19,False,Ankle injury - Unknown return date,2020-03-02T23:00:14.662721Z,47,198849.jpg,1.8,Torreira,1.1,False,,i,1,3,44,93029,1,168287,723,0.1,9.4,Torreira,1365,1,1,3,20,0,0,0,4,0,0,0,238,271.8,200.7,199.0,67.3
0,0,153256,0,0,-2,2,0,3,0.0,0.0,0,Mohamed,0.0,20,False,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,153256.jpg,0.0,Elneny,0.5,False,,n,1,3,0,123580,21,121188,102,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
